Datum;Betrag
05.09.2022;200
08.09.2022;-3,1
12.09.2022;-69,95
12.09.2022;-113,48
14.09.2022;-5,46
19.09.2022;-68
21.09.2022;-7,05
22.09.2022;-2,48
22.09.2022;-4,5
26.09.2022;-10,48
26.09.2022;-22,85
26.09.2022;-65,71
26.09.2022;-59,98
26.09.2022;-21,6
26.09.2022;-25,92
28.09.2022;-12,5
04.10.2022;-55,98
04.10.2022;-35
04.10.2022;-13
04.10.2022;-6,95
04.10.2022;-37,4
04.10.2022;-8,6
04.10.2022;-9,75
04.10.2022;0
05.10.2022;-6
07.10.2022;-6,6
10.10.2022;-3,5
10.10.2022;-2
11.10.2022;-13
11.10.2022;-6,47
11.10.2022;-9,5
11.10.2022;-8,9
11.10.2022;-21,6
12.10.2022;-62,96
12.10.2022;-5,2
14.10.2022;-3,68
14.10.2022;-2
14.10.2022;-1,59
17.10.2022;-44
17.10.2022;-4,25
17.10.2022;-21,35
17.10.2022;-40,56
17.10.2022;-26,98
17.10.2022;-5,5
17.10.2022;-2
17.10.2022;-5,04
17.10.2022;-39,96
17.10.2022;-3,95
18.10.2022;-17,2
19.10.2022;-5,24
20.10.2022;-8,56
24.10.2022;-20,27
24.10.2022;-16
24.10.2022;-7,94
24.10.2022;-8,6
25.10.2022;-20,88
26.10.2022;-5
26.10.2022;-9,38
27.10.2022;-6,5
31.10.2022;-2,5
31.10.2022;-16,89
31.10.2022;-12
31.10.2022;-7,3
31.10.2022;-29,6
31.10.2022;-14,7
31.10.2022;-5
31.10.2022;-56,66
31.10.2022;-2,04
03.11.2022;-6,6
04.11.2022;-13
04.11.2022;-2
04.11.2022;-6
04.11.2022;-6,47
04.11.2022;-3,5
04.11.2022;-21,6
04.11.2022;-9,5
04.11.2022;-8,9
07.11.2022;6,47
07.11.2022;13
07.11.2022;6,6
07.11.2022;9,5
07.11.2022;8,9
07.11.2022;3,5
07.11.2022;2
07.11.2022;21,6
07.11.2022;6
10.11.2022;-11
10.11.2022;-3,95
10.11.2022;-2,95
10.11.2022;-39,99
10.11.2022;-1,5
10.11.2022;-11
10.11.2022;-7
10.11.2022;-20
11.11.2022;-2,64
11.11.2022;-4,18
11.11.2022;-5
11.11.2022;-5,33
11.11.2022;-12
11.11.2022;-3,5
11.11.2022;-6
11.11.2022;-2,5
11.11.2022;-44,4
11.11.2022;-17,72
11.11.2022;-5
11.11.2022;-8,85
14.11.2022;-5
15.11.2022;-2,49
15.11.2022;-2
16.11.2022;-11,1
17.11.2022;-5,32
22.11.2022;-9,9
22.11.2022;-3,95
22.11.2022;-10,7
22.11.2022;-18
22.11.2022;-10,03
22.11.2022;-13,95
22.11.2022;-5
22.11.2022;-5
22.11.2022;-5,81
25.11.2022;-10,67
28.11.2022;-5,3
28.11.2022;-6
28.11.2022;-4
28.11.2022;-5
28.11.2022;-7,48
29.11.2022;-5,6
